parameter,pct_contribution,median_sensitivity,units
H2Ot,2.848593469153872e-7,-0.10579549314024916,years/wt%
Ea,18.941351326171645,0.07871206678414122,years/(J/mol)
EHT,27.798230907930126,-59.479384936695126,years/°C
RH,13.93547838030651,-847.9211010876622,years/RH
Covariance,39.3930232268887,NA,NA
Composition,18.941351611030992,NA,NA
Environment,41.73370928823664,NA,NA
