tier,elpd_loo,elpd_se,k_max,k_mean,n_k_above_05,n_k_above_07,n_k_above_10,stacking_weight,delta_elpd
Tier 1,545.377245309474,5.165790350884693,0.6908757021237644,0.2087799178227996,7,0,0,0.9999924534037855,0
Tier 2,542.5795760566116,4.997429928466504,0.7635766191160447,0.296702002489037,11,1,0,6.673104811118301e-6,-2.79766925286242
Tier 3,541.9735416479438,4.861491431679955,0.741233948013732,0.3196514703923884,13,1,0,8.734914033192709e-7,-3.403703661530244
