sigma_meas,tier3_uncertainty,tier3_mean,tier3_min,tier3_max,rhat_max,ess_min,tier0_uncertainty,gap,ratio
0.03,298.0967032890263,296.57053913283994,213.7527925721401,315.3893169390904,1.0007344712381185,7744.182407547198,287.689698743186,10.407004545840323,1.0361744080212285
0.01,214.61841687086954,210.87841442454902,94.48965526487927,234.03801352732188,1.000998822486482,5681.69320752388,145.25919692901795,69.35921994185159,1.4774859107595406
0.001,184.00475385599486,179.18416945271812,66.57057136959973,223.45865613737843,1.0018672656918495,3599.54550138064,15.25510948748763,168.74964436850723,12.061844197638642
