sample_id,study_area,var_baseline,var_ENSO,var_year_to_year,var_combined,var_spatial,var_temporal
164,SA2,3.304238349926795e-4,3.305186869749672e-4,3.3070709838981227e-4,3.3080196654182854e-4,3.304238349926795e-4,3.781315491490581e-7
165,SA2,3.1529301272875963e-4,3.153985261945234e-4,3.1563215768726433e-4,3.1573714040795503e-4,3.1529301272875963e-4,4.441276791953934e-7
166,SA2,3.1604487753666077e-4,3.161432889515586e-4,3.1628360174074463e-4,3.163808329990095e-4,3.1604487753666077e-4,3.359554623487415e-7
167,SA2,3.218408710906175e-4,3.221042639844979e-4,3.220950576809732e-4,3.2236242865169685e-4,3.218408710906175e-4,5.21557561079355e-7
168,SA2,2.952034479685458e-4,2.9557297772088583e-4,2.9550082437551254e-4,2.9586801758312947e-4,2.952034479685458e-4,6.645696145836833e-7
169,SA2,3.027856599130023e-4,3.0292584011454505e-4,3.029431971293682e-4,3.030825444179246e-4,3.027856599130023e-4,2.9688450492231996e-7
170,SA2,3.2371556081513427e-4,3.239715257251475e-4,3.2404043576274316e-4,3.2429528356058896e-4,3.2371556081513427e-4,5.797227454546936e-7
171,SA2,3.341194781096572e-4,3.3412490318631007e-4,3.340502745862614e-4,3.3405557504447963e-4,3.341194781096572e-4,-6.390306517755837e-8
172,SA2,2.9513501014490426e-4,2.951766622197704e-4,2.951352749586012e-4,2.951769471174927e-4,2.9513501014490426e-4,4.19369725884332e-8
173,SA2,3.3409698039516114e-4,3.342299804607668e-4,3.340520057136884e-4,3.341842996562611e-4,3.3409698039516114e-4,8.731926109993918e-8
174,SA2,3.2346690030210474e-4,3.2348163584184974e-4,3.235399450376404e-4,3.235547924159912e-4,3.2346690030210474e-4,8.789211388646754e-8
175,SA2,3.2958758019904425e-4,3.297696118247821e-4,3.29530705841956e-4,3.2971030601815747e-4,3.2958758019904425e-4,1.2272581911322317e-7
176,SA2,3.3259423280852394e-4,3.326661081365296e-4,3.325726466661193e-4,3.326436305732158e-4,3.3259423280852394e-4,4.939776469185635e-8
177,SA2,3.0057013983474155e-4,3.0057627536513715e-4,3.0060244343856155e-4,3.0060870744846597e-4,3.0057013983474155e-4,3.856761372441654e-8
178,SA3,2.954025192996616e-4,2.954213291347971e-4,2.9545461554559806e-4,2.9547362899776336e-4,2.954025192996616e-4,7.110969810176452e-8
179,SA3,3.1998262364905293e-4,3.201243148114667e-4,3.2027858033523577e-4,3.204208532664705e-4,3.1998262364905293e-4,4.3822961741759366e-7
180,SA3,2.798804876028011e-4,2.7993615935911374e-4,2.7987398648180015e-4,2.79930894732273e-4,2.798804876028011e-4,5.04071294718739e-8
181,SA3,3.127719455764852e-4,3.127981203225523e-4,3.1267000573382837e-4,3.126958080773236e-4,3.127719455764852e-4,-7.613749916163736e-8
182,SA3,2.516021550284261e-4,2.5175724987459863e-4,2.5153133073474074e-4,2.5169028293705394e-4,2.516021550284261e-4,8.812790862783868e-8
