tier,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
Tier 1,0,0,545.377245309474,5.165790350884693,27.96609998611153,1.7484649235413199,-1090.754490618948,10.331580701769386
Tier 2,-2.7976692528626472,1.0995645249321477,542.5795760566116,4.997429928466504,30.960064608236863,2.130122806990887,-1085.1591521132232,9.994859856933008
Tier 3,-3.403703661530759,1.1631959789161022,541.9735416479438,4.861491431679955,31.474732550533485,2.093132489794348,-1083.9470832958875,9.72298286335991
