lab_id,study_area,stevenson_age,stevenson_sd,post_mean,post_sd,q025,q975,ci_width,age_diff,exceeds_claimed
DHR-1616,SA1,327.5943806226352,30,447.8558345288982,153.10355886719756,169.6933851334966,761.0332205484971,591.3398354150005,120.261453906263,TRUE
DHR-1617,SA1,393.6031837077273,30,482.11045721644246,156.32685856928032,192.64068656955868,801.0879585021867,608.4472719326279,88.50727350871517,TRUE
DHR-1618,SA1,383.3504031264037,30,486.9192646681986,156.42625429981663,193.7183486163275,800.7521395669394,607.0337909506119,103.56886154179489,TRUE
DHR-1619,SA1,565.623660995245,30,553.625519287457,150.36772329381404,260.4393924000871,840.6306062356468,580.1912138355597,-11.998141707788022,TRUE
DHR-1620,SA1,653.4385919180268,30,580.740528752342,148.01540583552867,289.2053360903539,858.3425412197633,569.1372051294095,-72.69806316568474,TRUE
DHR-1621,SA1,401.4527334460588,30,477.908912930853,154.84804522750764,187.957813499028,792.6486840818371,604.6908705828091,76.45617948479418,TRUE
DHR-1622,SA1,253.59765550446147,30,401.6620806257084,151.6856337830702,139.2421860890015,725.1437743221259,585.9015882331244,148.06442512124696,TRUE
DHR-1623,SA1,728.308716958112,30,607.2430375107435,145.0314562857388,319.9612085256202,866.6324595370867,546.6712510114664,-121.06567944736844,TRUE
DHR-1624,SA1,258.1373075638089,30,398.22006594648707,153.73957969911027,137.4144268927905,724.5758504891899,587.1614235963993,140.08275838267815,TRUE
DHR-1625,SA1,673.0598715931487,30,585.2615439755499,145.99145795069805,294.6074279438895,854.7007867807355,560.0933588368459,-87.79832761759883,TRUE
DHR-1626,SA1,382.28527678255466,30,459.12089534988985,155.65075192599906,173.9770121147669,782.2385985572184,608.2615864424515,76.83561856733519,TRUE
DHR-1627,SA1,568.0216037823345,30,561.8805578963826,149.964322459595,266.77368228068724,846.7234162149197,579.9497339342324,-6.1410458859519395,TRUE
DHR-1628,SA1,427.690708899932,30,488.93414879619274,154.81785715313518,199.89878242326205,800.0168248021769,600.1180423789149,61.243439896260725,TRUE
DHR-1629,SA1,520.6790264912705,30,537.8719326826076,152.82606907111966,246.16977055025015,834.5024723318454,588.3327017815952,17.1929061913371,TRUE
DHR-1630,SA1,480.4984694233154,30,523.2561240761565,153.52498087490278,226.90161057975337,824.1897887631459,597.2881781833926,42.757654652841154,TRUE
DHR-1631,SA1,308.44697416632164,30,439.4197369982114,156.2173372015728,159.22878457422664,762.6141510830506,603.385366508824,130.97276283188978,TRUE
DHR-1632,SA1,393.501601174955,30,481.2030160495956,156.4839730483187,194.9393113574626,797.9142741714675,602.9749628140048,87.70141487464059,TRUE
DHR-1633,SA1,669.2750604325465,30,601.3162473772223,145.5331014883496,310.45882137832945,864.9271065754914,554.468285197162,-67.95881305532419,TRUE
DHR-1634,SA1,436.0765294842161,30,506.1832467783826,155.88251392707065,208.88045338715827,815.8493103007687,606.9688569136105,70.10671729416651,TRUE
DHR-1635,SA1,314.74696184531103,30,437.65755253800165,153.77783916736942,160.28426511986405,758.3267645221747,598.0424994023107,122.91059069269062,TRUE
DHR-1636,SA1,410.838586994008,30,487.2020891488804,154.17527671311217,198.02880811231157,797.1261703980996,599.097362285788,76.36350215487244,TRUE
DHR-1638,SA1,646.314133878384,30,587.7986967155973,147.12448462874232,297.00045725695776,857.9459227979729,560.9454655410152,-58.515437162786725,TRUE
DHR-1639,SA1,489.0735962223376,30,531.9367372919205,154.4680570549232,233.58703743541255,831.1150601213291,597.5280226859165,42.86314106958292,TRUE
DHR-1640,SA1,552.484785647533,30,538.7285485272564,150.85644738894177,247.74447646098824,831.198135479146,583.4536590181577,-13.756237120276637,TRUE
DHR-1641,SA1,423.0662863215381,30,500.8972932911794,153.91633101238185,210.2463570245373,811.0892024977557,600.8428454732184,77.8310069696413,TRUE
DHR-1642,SA1,382.5136869155962,30,473.079991187705,156.0047466143836,185.79649105037586,791.0775045811366,605.2810135307608,90.56630427210877,TRUE
DHR-1644,SA1,714.3667760701381,30,596.5923213268443,146.72862424284318,302.5931196160291,861.5517546323398,558.9586350163106,-117.77445474329386,TRUE
DHR-1646,SA1,413.0457843858856,30,501.1882668900924,157.02336126214539,196.05359935622727,813.7910405800025,617.7374412237752,88.14248250420678,TRUE
DHR-1647,SA1,482.7417130601556,30,523.5865203422384,155.43722064003003,227.29276360006554,828.4777971683833,601.1850335683177,40.8448072820828,TRUE
DHR-1648,SA1,481.03020686277375,30,526.4825924847651,155.68633698445947,230.72621155284207,830.974220151695,600.248008598853,45.45238562199131,TRUE
DHR-1649,SA1,254.14876240052865,30,406.8871566769737,155.2702535541208,138.89920056698367,741.3516696499332,602.4524690829496,152.73839427644504,TRUE
DHR-1650,SA1,541.7890496868415,30,540.7429495642698,152.00451075036432,247.46616699561125,832.8119629875937,585.3457959919824,-1.0461001225717155,TRUE
DHR-1652,SA1,694.8775815466096,30,598.7663374293672,142.81961024238583,312.03544710458596,857.4502384073571,545.4147913027712,-96.11124411724234,TRUE
DHR-1653,SA1,335.30085282976773,30,440.33428891840106,155.46316285015874,157.79016756676816,762.9617696184664,605.1716020516983,105.03343608863332,TRUE
DHR-1654,SA1,433.52188960894847,30,503.33453959204473,154.60570947432362,211.02770268617704,812.2626524113747,601.2349497251977,69.81264998309626,TRUE
DHR-1655,SA1,348.7964320721488,30,466.72639944468426,154.3652185194137,179.95202323818972,778.5856052328699,598.6335819946801,117.92996737253549,TRUE
DHR-1656,SA1,449.0609581292956,30,517.8048252042413,152.77450149817307,224.6554099273876,820.9912454245904,596.3358354972028,68.74386707494568,TRUE
DHR-1657,SA1,740.588317615672,30,614.2802031038385,141.78448269789487,324.3053569307932,870.0835378593406,545.7781809285474,-126.30811451183354,TRUE
DHR-1658,SA1,533.4159891651854,30,550.7119979240459,152.67656787638506,252.47806004877404,844.7735679647251,592.295507915951,17.29600875886058,TRUE
DHR-1660,SA1,456.12043145094174,30,506.2712877725982,155.5459114348911,211.56667650650505,819.8429837799566,608.2763072734516,50.15085632165648,TRUE
DHR-1662,SA1,353.92978173381886,30,469.4220733369835,154.55264695291933,182.27520733127918,783.9448091213036,601.6696017900244,115.49229160316463,TRUE
DHR-1664,SA1,532.1837811394983,30,546.2118923471327,151.9355585095191,251.9391959779722,836.5629387779636,584.6237427999914,14.028111207634424,TRUE
DHR-1666,SA1,697.2170948388006,30,595.6178779687299,147.2498884102988,299.8207000824523,864.7513653478268,564.9306652653745,-101.59921687007068,TRUE
DHR-1668,SA1,554.0755226081345,30,558.7059717201387,150.04716195471593,266.3445095023817,845.2957043976296,578.9511948952479,4.6304491120041575,TRUE
DHR-1670,SA1,597.5071623717039,30,568.3726693232637,148.17081939920564,281.1393179217366,845.5637101907804,564.4243922690438,-29.134493048440163,TRUE
DHR-1673,SA1,356.70925230378185,30,460.07914731168705,154.38853375639357,176.28069541717122,776.5249579764816,600.2442625593103,103.3698950079052,TRUE
