"Model","Data","Structure","N","ELPD","ELPD_SE"
"1A (C14 Ordered)","C14","Ordered",3,-22.784283321101,5.534160969187
"1B (C14 Single)","C14","Single",3,-19.0573159654347,1.09262691713921
"1C (OHD Ordered)","OHD","Ordered",23,-229.874503503851,40.0178843228974
"1D (OHD Single)","OHD","Single",23,-129.684198236866,0.655632093100994
"1E (Combined Ordered)","Combined","Ordered",26,-254.201963899843,40.9203057486453
"1F (Combined Single)","Combined","Single",26,-147.690955876282,1.15477462312332
