test_name,EHT_sd,H2Ot_sigma,Ea_sigma,median_uncertainty,mean_uncertainty,min_uncertainty,max_uncertainty,ratio_to_claimed,rhat_max,ess_min
Baseline (our analysis),3,0.08,2000,307.838937667899,306.1870284137101,236.50487204134737,322.0652794602238,10.261297922263301,1.0008346529001388,9011.072232281327
Individual tight (best single),0.1,0.08,2000,304.41834732447,302.2688483104003,221.60883846601638,317.8209578428252,10.147278244149,1.0009885885491552,7506.341427120307
Simultaneous tight (all three),0.1,0.005,100,296.78196423345423,295.4689178307944,214.38939467988803,313.46488987383856,9.892732141115141,1.0004279365833177,7752.459351690268
Extreme tight (physically impossible),0.01,0.001,10,296.78418146343733,295.30377256826205,212.28647874425815,311.94099532771935,9.892806048781244,1.0008347581962127,7616.765102006715
