study_area,lab_id,provenience,1630_cm1,H2Ome_pct,3570_cm1,H2Ot_pct,eht_c,RH_fraction,rate,H2Ome2_per_day,Ea_J_per_mol,date_bp,date_ad,sd
SA1,DHR-1616,26-166,0.0923000000000000,0.0817845100000000,0.1382000000000000,0.0948238865883885,22.3999999999999986,0.9800000000000000,0.0000260056048086,0.0000001192465056,84447.1567056697822409,327.5943806226351853,1681.4056193773649284,30.0000000000000000
SA1,DHR-1617,26-166,0.1011000000000000,0.0942250700000000,0.1377000000000000,0.0944309483975786,22.3999999999999986,0.9800000000000000,0.0000259683112919,0.0000001191595570,84456.4756278030254180,393.6031837077272826,1615.3968162922728879,30.0000000000000000
SA1,DHR-1618,26-166,0.1022000000000000,0.0957801400000000,0.1543000000000000,0.1075838389886125,22.3999999999999986,0.9800000000000000,0.0000272461954254,0.0000001221047482,84144.5416745460679522,383.3504031264037053,1625.6495968735962379,30.0000000000000000
SA1,DHR-1619,26-166,0.1204000000000000,0.1215094800000000,0.1331000000000000,0.0908257502588759,22.3999999999999986,0.9800000000000000,0.0000256286308364,0.0000001183647597,84541.9765068605047418,565.6236609952450181,1443.3763390047549819,30.0000000000000000
SA1,DHR-1620,26-166,0.1282000000000000,0.1325363400000000,0.1265000000000000,0.0856848417748210,22.3999999999999986,0.9800000000000000,0.0000251519273628,0.0000001172405626,84663.8982924683514284,653.4385919180267592,1355.5614080819732408,30.0000000000000000
SA1,DHR-1621,26-166,0.1004000000000000,0.0932354800000000,0.1259000000000000,0.0852193912051794,22.3999999999999986,0.9800000000000000,0.0000251092075360,0.0000001171393081,84674.9369181779620703,401.4527334460588008,1607.5472665539411992,30.0000000000000000
SA1,DHR-1622,26-166,0.0810000000000000,0.0658097000000000,0.1364000000000000,0.0934102831485723,22.3999999999999986,0.9800000000000000,0.0000258716902842,0.0000001189340024,84480.6817248484585434,253.5976555044614713,1755.4023444955385003,30.0000000000000000
SA1,DHR-1623,26-166,0.1367000000000000,0.1445527900000000,0.1335000000000000,0.0911385345992426,22.3999999999999986,0.9800000000000000,0.0000256579244006,0.0000001184335052,84534.5585134443535935,728.3087169581119724,1280.6912830418880276,30.0000000000000000
SA1,DHR-1624,26-166,0.0801000000000000,0.0645373700000000,0.1223000000000000,0.0824335176562864,22.3999999999999986,0.9800000000000000,0.0000248550279716,0.0000001165350919,84741.0066952635097550,258.1373075638089176,1750.8626924361910824,30.0000000000000000
SA1,DHR-1625,26-166,0.1300000000000000,0.1350810000000000,0.1259000000000000,0.0852193912051794,22.3999999999999986,0.9800000000000000,0.0000251092075360,0.0000001171393081,84674.9369181779620703,673.0598715931486140,1335.9401284068512723,30.0000000000000000
SA1,DHR-1626,26-134,0.0951000000000000,0.0857428700000000,0.1046000000000000,0.0689158167073104,22.3999999999999986,0.9800000000000000,0.0000236577512901,0.0000001136472538,85061.5924909694294911,382.2852767825546607,1626.7147232174452256,30.0000000000000000
SA1,DHR-1627,26-134,0.1227000000000000,0.1247609900000000,0.1448000000000000,0.1000298452949328,22.3999999999999986,0.9800000000000000,0.0000265047841486,0.0000001204044756,84323.6921889853692846,568.0216037823345232,1440.9783962176657042,30.0000000000000000
SA1,DHR-1628,26-134,0.1029000000000000,0.0967697300000000,0.1209000000000000,0.0813533253488843,22.3999999999999986,0.9800000000000000,0.0000247571662878,0.0000001163016530,84766.6245360258617438,427.6907088999320194,1581.3092911000680942,30.0000000000000000
SA1,DHR-1629,26-134,0.1156000000000000,0.1147237200000000,0.1336000000000000,0.0912167520336298,22.3999999999999986,0.9800000000000000,0.0000256652550230,0.0000001184507025,84532.7035087704280159,520.6790264912705197,1488.3209735087293666,30.0000000000000000
SA1,DHR-1630,26-134,0.1114000000000000,0.1087861800000000,0.1358000000000000,0.0929396837885691,22.3999999999999986,0.9800000000000000,0.0000258272622905,0.0000001188301496,84491.8424592702940572,480.4984694233153846,1528.5015305766848996,30.0000000000000000
SA1,DHR-1631,26-134,0.0903000000000000,0.0789571100000000,0.1439000000000000,0.0993178688127503,22.3999999999999986,0.9800000000000000,0.0000264359539335,0.0000001202454482,84340.5774232368130470,308.4469741663216951,1700.5530258336782481,30.0000000000000000
SA1,DHR-1632,26-134,0.1010000000000000,0.0940837000000000,0.1371000000000000,0.0939596969008973,22.3999999999999986,0.9800000000000000,0.0000259236556333,0.0000001190553631,84467.6518282983161043,393.5016011749549989,1615.4983988250451148,30.0000000000000000
SA1,DHR-1633,26-134,0.1349000000000000,0.1420081299999999,0.1536000000000000,0.1070248612093467,22.3999999999999986,0.9800000000000000,0.0000271906291985,0.0000001219781135,84157.7983915591321420,669.2750604325465247,1339.7249395674537027,30.0000000000000000
SA1,DHR-1634,26-134,0.1074000000000000,0.1031313800000000,0.1441000000000000,0.0994760298992375,22.3999999999999986,0.9800000000000000,0.0000264512286723,0.0000001202807570,84336.8264749096852029,436.0765294842161097,1572.9234705157839471,30.0000000000000000
SA1,DHR-1635,26-134,0.0902000000000000,0.0788157400000000,0.1361000000000000,0.0931749456920928,22.3999999999999986,0.9800000000000000,0.0000258494631761,0.0000001188820563,84486.2629879663290922,314.7469618453110343,1694.2530381546889657,30.0000000000000000
SA1,DHR-1636,26-134,0.1027000000000000,0.0964869900000000,0.1337000000000000,0.0912949779968085,22.3999999999999986,0.9800000000000000,0.0000256725885394,0.0000001184679042,84530.8483018276892835,410.8385869940079829,1598.1614130059920171,30.0000000000000000
